siren,denominationUniteLegale,activitePrincipaleUniteLegale,categorieEntreprise,libelle_naf
309645539,GXO LOGISTICS EUROPE,70.10Z,GE,Activités des sièges sociaux
310173968,SOCIETE ANONYME COOPERATIVE GIPHAR,46.46Z,ETI,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
310879499,BOURBON CORPORATION,64.20Z,ETI,Activités des sociétés holding
311361489,JACQUET METALS,70.10Z,ETI,Activités des sièges sociaux
311473383,TF1 PUBLICITE,73.12Z,GE,Régie publicitaire de médias
324958198,TOTALENERGIES PROXI SUD OUEST,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
325307106,COFIDIS,64.92Z,GE,Autre distribution de crédit
325366334,DISTRIDYN,46.12A,ETI,Centrales d'achat de carburant
325520450,ENTREMONT ALLIANCE,10.51C,GE,Fabrication de fromage
325720720,STAUBLI FAVERGES,28.99B,ETI,Fabrication d'autres machines spécialisées
325952182,SOCIETE D'INVESTISSEMENT TOURISTIQUE ET IMMOBILIER - S.I.T.I.,64.20Z,PME,Activités des sociétés holding
326118502,PIERRE FABRE MEDICAMENT,46.46Z,GE,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
338228414,MOET HENNESSY,70.10Z,GE,Activités des sièges sociaux
338481955,SAFRAN HELICOPTER ENGINES,30.30Z,GE,Construction aéronautique et spatiale
351005582,SOCIETE EUROPEENNE DE VEHICULES LEGERS DU NORD - SEVEL NORD,29.10Z,GE,Construction de véhicules automobiles
351216759,TECHWOOD,29.20Z,GE,Fabrication de carrosseries et remorques
379914237,NORTH ATLANTIC RAFFINAGE,19.20Z,GE,Raffinage du pétrole
380110304,CONTINENTAL FRANCE,22.11Z,GE,Fabrication et rechapage de pneumatiques
380129866,ORANGE,61.10Z,GE,Télécommunications filaires
380404764,COOPERATIEVE RABOBANK U.A.,64.19Z,ETI,Autres intermédiations monétaires
380475293,BYMYCAR AUTOMOTIVE,64.20Z,GE,Activités des sociétés holding
380844175,UBIPHARM,64.20Z,ETI,Activités des sociétés holding
390072551,CIRCET,61.10Z,ETI,Télécommunications filaires
390742765,SOCIETE FINANCIERE DU STEIR,66.30Z,GE,Gestion de fonds
402423420,WMH PROJECT,73.11Z,ETI,Activités des agences de publicité
402737936,LACTALIS INGREDIENTS,46.33Z,GE,"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles"
402757751,LACTALIS FROMAGES,46.33Z,GE,"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles"
403210032,VEOLIA ENVIRONNEMENT,82.99Z,GE,Autres activités de soutien aux entreprises n.c.a.
403335904,SANOFI-AVENTIS FRANCE,46.46Z,GE,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
403335938,SANOFI-AVENTIS GROUPE,70.10Z,GE,Activités des sièges sociaux
414969584,STMICROELECTRONICS ROUSSET SAS,26.11Z,GE,Fabrication de composants électroniques
414986216,VEOLIA WATER TECH,64.20Z,GE,Activités des sociétés holding
415550284,V. MANE FILS,20.53Z,ETI,Fabrication d'huiles essentielles
417350311,VIRBAC,21.20Z,ETI,Fabrication de préparations pharmaceutiques
417689395,AYVENS,70.10Z,GE,Activités des sièges sociaux
417890589,MSD FRANCE,46.46Z,GE,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
428593230,NEXANS FRANCE,27.32Z,GE,Fabrication d'autres fils et câbles électroniques ou électriques
428611719,SOCIETE COOPERATIVE AGRICOLE ET AGRO-ALIMENTAIRE AGRIAL,46.90Z,GE,Commerce de gros (commerce interentreprises) non spécialisé
428616734,GRENKE LOCATION,77.33Z,ETI,Location et location-bail de machines de bureau et de matériel informatique
428706204,SANOFI CHIMIE,21.10Z,GE,Fabrication de produits pharmaceutiques de base
428760847,UNICREDIT,64.19Z,PME,Autres intermédiations monétaires
428764500,AREVA NP,70.10Z,,Activités des sièges sociaux
